Year,Company_name,SEC_code,Industry_type,CSR_commitee,CSR_board_size,Compliance_environmental_laws,EPA_fines,Amount_of_fines,SDG_targets,Issue_green_bonds,Govt_collaboration,Total_carbon_emissions,Direct_carbon_emissions,Indirect_carbon_emissions,Scope3_carbon_emissions,Environmental_scores,Disclosure_scores,Energy_conservation,Water_treatment,Recycling,Biodiversity,Waste_management,Green_innovation,GHG_sales,Net_zero_targets,Disclosure_of_R&D,Climate_change_policy,Renewal_energy,Dow_jones_sustainability_index,FTSE4Good_Index,MSCI_ESG_index,Global_reporting_initiative,Integrated_reporting_framework,Risk_score,Controversy_level,Planning_zero_carbon,ESG_funds
2017,3M,MMM,1,0,0,1,0,0,ESG,0,1,5840,3960,1880,9340,54.21,61.57,1,1,1,1,1,1,152.22,1,0,1,1,1,2,3,1,0,33.61,3,0,844
2017,Abbott Laboratories,ABT,6,0,0,0,0,0,ESG,0,1,1044,541,503,7600,71.94,72.2,1,1,1,1,1,1,27.64,0,1,1,0,1,2,3,0,0,24.98,3,0,968
2017,AbbVie,ABBV,6,1,5,0,0,0,ESG,0,0,627,293,334,0,38.27,58.81,1,1,0,0,1,0,14.65,0,1,1,1,1,0,3,0,0,27.84,3,0,1124
2017,ABM Industries,ABM,1,0,0,0,0,0,ESG,0,0,57.67,39.38,8.3,0,15.8,44.07,1,1,0,1,1,1,7.03,0,0,0,0,1,0,0,1,0,0,0,0,90
2017,Activision Blizzard,ATVI,1,0,0,0,0,0,G,0,0,0,0,0,0,14.38,37.8,0,0,0,0,0,0,3.12,1,0,0,0,1,0,3,0,0,18.94,4,0,706
2017,Adobe,ADBE,12,0,0,0,0,0,ESG,0,0,80.75,14.48,66.27,96.05,53.46,62.35,1,0,0,0,1,1,4.78,0,1,1,1,1,2,3,1,0,12.46,1,0,1448
2017,Advance Auto Parts,AAP,19,0,0,0,0,0,ESG,0,0,0,0,0,0,3.78,34.7,1,0,0,1,1,0,31.95,0,1,1,0,1,0,3,0,0,12.97,2,0,577
2017,Advanced Micro Devices (AMD),AMD,9,0,0,0,0,0,E,0,0,45.9,3.85,42.05,937.58,55.78,58.96,1,1,1,0,1,1,3.12,0,1,1,0,1,0,3,1,0,20.09,1,0,1003
2017,AECOM,ACM,9,0,0,1,0,0,ESG,0,1,187.71,25.48,162.22,0,19.96,40.73,1,1,0,0,1,1,6.55,1,1,1,0,1,0,0,1,0,26.19,2,0,169
2017,AES,AES,4,1,4,1,0,0,EG,0,1,63723,63497,226,15422,55.6,64.7,1,1,0,1,1,0,5309.13,1,0,0,0,1,2,3,1,0,34.15,2,0,325
2017,Aflac,AFL,15,1,3,0,0,0,ESG,0,0,18.36,4.04,14.33,0,18.45,49.13,1,0,0,0,1,1,0.67,1,0,0,0,1,0,3,1,1,17.3,2,0,776
2017,AGCO,AGCO,9,0,0,1,0,0,ESG,0,1,0,0,0,0,14.71,36.78,0,0,0,0,0,0,16.5,0,0,0,0,1,0,0,0,0,20.45,2,0,315
2017,Air Products & Chemicals,APD,3,1,4,1,0,0,ESG,0,1,25400,15600,9800,7000,58.59,71.23,1,1,1,1,1,0,2789.28,0,0,1,0,1,2,3,1,0,10.81,1,0,661
2017,Albertsons,ACI,5,0,0,0,0,0,ESG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.66,0,0,0,0,1,0,3,0,0,29.74,3,0,52
2017,Alcoa,AA,8,1,5,0,0,0,ESG,0,1,22926.2,16500,6426.19,38678.5,70.49,66.37,1,1,0,1,1,0,2112.6,1,0,1,0,1,2,3,1,0,24.78,3,0,254
2017,Alexion Pharmaceuticals,ALXN,6,0,0,0,0,0,EG,0,0,0,0,0,0,14.38,38.32,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,68
2017,Alleghany,Y,15,0,0,0,0,0,EG,0,0,0,0,0,0,0,32.56,0,0,0,0,0,0,4.74,0,0,0,0,1,0,3,0,0,21.71,1,0,380
2017,Allstate,ALL,15,0,0,0,0,0,ESG,0,0,145.01,53.8,91.21,48.26,35.97,56.33,1,1,0,0,1,1,2.29,0,0,1,0,1,0,3,1,0,19.22,2,0,848
2017,Ally Financial ,ALLY,13,0,0,0,0,0,ESG,0,0,0,0,0,0,70.7,33.61,0,0,0,0,0,0,19.16,1,0,0,0,1,2,3,0,0,22.23,2,0,757
2017,Alphabet,GOOGL,12,0,0,0,0,0,E,0,1,3367.94,66.55,3301.39,2719.02,41.29,58.69,1,1,1,1,1,1,30.27,1,0,1,1,1,0,3,0,0,24.14,4,1,1490
2017,Altria Group,MO,5,1,6,1,0,0,EG,0,0,340.01,167.7,172.31,2407.3,59.83,64.05,1,1,0,1,1,0,16.46,0,1,1,0,1,2,3,1,0,23.99,2,0,270
2017,Amazon,AMZN,11,0,0,1,0,0,ESG,0,0,0,0,0,0,15.95,43.04,1,1,1,1,1,1,144.93,1,1,1,1,1,0,3,0,0,30.28,3,0,1314
2017,Ameren,AEE,4,1,6,1,0,0,EG,0,0,30268.8,30200.4,68.39,1074.89,39.72,53.57,1,1,0,1,1,0,5213.11,1,1,0,0,1,0,3,0,0,29.44,2,0,272
2017,American Airlines Group,AAL,18,1,5,0,1,4800,ESG,0,1,42268,41892,376,237,50.08,55.67,1,0,0,0,1,1,1145.27,1,1,1,0,1,0,0,1,0,29.1,2,0,194
2017,American Electric Power,AEP,16,0,0,0,0,0,E,0,0,91718,78760.4,12957.6,5974.59,58.05,65.5,1,1,0,1,1,1,3977.78,1,0,1,1,1,0,3,1,0,25.81,2,0,339
2017,American Express,AXP,1,1,5,0,0,0,ESG,1,1,144.09,24.16,119.93,34.22,46.03,59.86,1,1,0,0,1,1,2.65,1,1,1,1,1,2,3,1,0,18.38,2,0,1091
2017,American Financial Group,AFG,13,0,0,0,0,0,ESG,0,0,0,0,0,0,0,31.45,0,0,0,0,0,0,4.35,0,0,0,0,1,0,3,0,0,29.09,1,0,331
2017,American International Group,AIG,15,1,4,0,0,0,ESG,0,0,0,0,0,0,18.63,41.25,1,0,0,0,0,1,2.04,1,1,1,0,0,0,3,0,0,25.32,2,0,663
2017,American Tower,AMT,13,0,0,1,0,0,ESG,0,0,2464.56,651.07,1813.49,0,26.52,44.89,1,1,0,0,0,0,114.63,0,0,0,0,1,0,3,1,0,10.94,0,0,1086
2017,Ameriprise Financial ,AMP,13,1,5,0,0,0,ESG,0,0,0,0,0,0,1.24,33.12,1,0,0,0,1,1,1.4,0,0,1,0,1,0,3,0,0,22.61,2,0,839
2017,AmerisourceBergen,ABC,14,1,3,1,0,0,ESG,0,1,123.38,37.5,85.88,0,22.41,50.11,0,0,0,0,0,0,0.67,0,1,0,0,1,0,3,1,0,12.32,3,0,751
2017,Amgen,AMGN,6,1,7,0,0,0,ESG,0,0,0,124.2,0,102,47.03,60.09,1,1,1,0,1,1,13.1,1,0,0,0,1,0,3,0,0,22.04,3,0,1224
