Total_carbon_emissions,CSR_board_size,Indirect_carbon_emissions,Disclosure_scores,Controversy_level,Disclosure_of_R&D,Renewal_energy,Environmental_scores,Climate_change_policy,Waste_management,Planning_zero_carbon,Issue_green_bonds,Direct_carbon_emissions,MSCI_ESG_index,CSR_commitee,Water_treatment,Scope3_carbon_emissions,Biodiversity,Net_zero_targets,Govt_collaboration,ESG_funds,GHG_sales,Recycling,SDG_targets,Dow_jones_sustainability_index,Energy_conservation,Risk_score
5840.0,0,1880.0,61.57,3,0,1,54.21,1,1,0,0,3960.0,3,0,1,9340.0,1,1,1,844,152.22,1,3,1,1,33.61
1044.0,0,503.0,72.2,3,1,0,71.94,1,1,0,0,541.0,3,0,1,7600.0,1,0,1,968,27.64,1,3,1,1,24.98
627.0,5,334.0,58.81,3,1,1,38.27,1,1,0,0,293.0,3,1,1,0.0,0,0,0,1124,14.65,0,3,1,1,27.84
57.67,0,8.3,44.07,0,0,0,15.8,0,1,0,0,39.38,0,0,1,0.0,1,0,0,90,7.03,0,3,1,1,0.0
0.0,0,0.0,37.8,4,0,0,14.38,0,0,0,0,0.0,3,0,0,0.0,0,1,0,706,3.12,0,4,1,0,18.94
80.75,0,66.27,62.35,1,1,1,53.46,1,1,0,0,14.48,3,0,0,96.05,0,0,0,1448,4.78,0,3,1,1,12.46
0.0,0,0.0,34.7,2,1,0,3.78,1,1,0,0,0.0,3,0,0,0.0,1,0,0,577,31.95,0,3,1,1,12.97
45.9,0,42.05,58.96,1,1,0,55.78,1,1,0,0,3.85,3,0,1,937.58,0,0,0,1003,3.12,1,0,1,1,20.09
187.71,0,162.22,40.73,2,1,0,19.96,1,1,0,0,25.48,0,0,1,0.0,0,1,1,169,6.55,0,3,1,1,26.19
63723.0,4,226.0,64.7,2,0,0,55.6,0,1,0,0,63497.0,3,1,1,15422.0,1,1,1,325,5309.13,0,1,1,1,34.15
18.36,3,14.33,49.13,2,0,0,18.45,0,1,0,0,4.04,3,1,0,0.0,0,1,0,776,0.67,0,3,1,1,17.3
0.0,0,0.0,36.78,2,0,0,14.71,0,0,0,0,0.0,0,0,0,0.0,0,0,1,315,16.5,0,3,1,0,20.45
25400.0,4,9800.0,71.23,1,0,0,58.59,1,1,0,0,15600.0,3,1,1,7000.0,1,0,1,661,2789.28,1,3,1,1,10.81
0.0,0,0.0,0.0,3,0,0,0.0,0,0,0,0,0.0,3,0,0,0.0,0,0,0,52,60.66,0,3,1,0,29.74
22926.2,5,6426.19,66.37,3,0,0,70.49,1,1,0,0,16500.0,3,1,1,38678.5,1,1,1,254,2112.6,0,3,1,1,24.78
0.0,0,0.0,38.32,0,0,0,14.38,0,0,0,0,0.0,0,0,0,0.0,0,0,0,68,0.0,0,1,1,0,0.0
0.0,0,0.0,32.56,1,0,0,0.0,0,0,0,0,0.0,3,0,0,0.0,0,0,0,380,4.74,0,1,1,0,21.71
145.01,0,91.21,56.33,2,0,0,35.97,1,1,0,0,53.8,3,0,1,48.26,0,0,0,848,2.29,0,3,1,1,19.22
0.0,0,0.0,33.61,2,0,0,70.7,0,0,0,0,0.0,3,0,0,0.0,0,1,0,757,19.16,0,3,1,0,22.23
3367.94,0,3301.39,58.69,4,0,1,41.29,1,1,1,0,66.55,3,0,1,2719.02,1,1,1,1490,30.27,1,0,1,1,24.14
340.01,6,172.31,64.05,2,1,0,59.83,1,1,0,0,167.7,3,1,1,2407.3,1,0,0,270,16.46,0,1,1,1,23.99
0.0,0,0.0,43.04,3,1,1,15.95,1,1,0,0,0.0,3,0,1,0.0,1,1,0,1314,144.93,1,3,1,1,30.28
30268.8,6,68.39,53.57,2,1,0,39.72,0,1,0,0,30200.4,3,1,1,1074.89,1,1,0,272,5213.11,0,1,1,1,29.44
42268.0,5,376.0,55.67,2,1,0,50.08,1,1,0,0,41892.0,0,1,0,237.0,0,1,1,194,1145.27,0,3,1,1,29.1
91718.0,0,12957.6,65.5,2,0,1,58.05,1,1,0,0,78760.4,3,0,1,5974.59,1,1,0,339,3977.78,0,0,1,1,25.81
144.09,5,119.93,59.86,2,1,1,46.03,1,1,0,1,24.16,3,1,1,34.22,0,1,1,1091,2.65,0,3,1,1,18.38
0.0,0,0.0,31.45,1,0,0,0.0,0,0,0,0,0.0,3,0,0,0.0,0,0,0,331,4.35,0,3,1,0,29.09
0.0,4,0.0,41.25,2,1,0,18.63,1,0,0,0,0.0,3,1,0,0.0,0,1,0,663,2.04,0,3,0,1,25.32
2464.56,0,1813.49,44.89,0,0,0,26.52,0,0,0,0,651.07,3,0,1,0.0,0,0,0,1086,114.63,0,3,1,1,10.94
0.0,5,0.0,33.12,2,0,0,1.24,1,1,0,0,0.0,3,1,0,0.0,0,0,0,839,1.4,0,3,1,1,22.61
123.38,3,85.88,50.11,3,1,0,22.41,0,0,0,0,37.5,3,1,0,0.0,0,0,1,751,0.67,0,3,1,0,12.32
0.0,7,0.0,60.09,3,0,0,47.03,0,1,0,0,124.2,3,1,1,102.0,0,1,0,1224,13.1,1,3,1,1,22.04
293.11,0,254.82,48.11,2,0,0,39.14,0,1,0,0,38.29,3,0,1,0.0,0,0,0,526,41.96,1,1,1,1,21.58
132.96,0,0.0,46.37,0,0,0,34.31,1,1,0,0,0.0,3,0,1,9.23,1,1,0,828,56.84,1,1,1,1,23.78
0.0,0,0.0,30.93,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,1,76,53.91,0,3,1,0,0.0
121.86,4,115.85,48.25,2,0,0,24.65,0,1,0,0,6.01,3,1,1,120.8,0,0,1,1067,0.73,0,3,1,1,11.48
696.0,0,650.6,52.74,3,1,1,43.19,1,1,1,1,45.4,3,0,1,27394.0,1,1,1,1383,3.6,1,3,1,1,16.41
168.1,0,131.6,57.24,1,1,0,38.6,0,1,0,0,36.5,3,0,1,17.32,0,0,0,1221,9.96,1,3,1,1,11.56
0.0,0,0.0,38.28,2,1,0,16.46,0,1,0,0,0.0,3,0,1,0.0,1,0,0,325,36.94,0,1,1,1,26.47
17471.0,0,2859.0,57.05,3,1,0,39.08,1,1,0,0,14612.0,3,0,1,0.0,1,0,1,610,221.02,0,3,1,1,36.4
0.0,0,0.0,35.27,1,0,0,2.08,0,1,0,0,0.0,3,0,1,0.0,0,0,0,390,34.37,0,3,1,1,9.94
0.0,0,0.0,32.18,2,0,0,0.33,0,0,0,0,0.0,3,0,0,0.0,0,0,0,646,8.16,0,3,1,0,21.75
0.0,0,0.0,29.23,0,0,0,0.0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,116,11.28,0,1,1,0,0.0
